"File","TSLines","HTMLLines","Methods","CRUDHits"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\environments\environment.prod.ts","4","0","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\suppliers\models\supplier.model.ts","0","0","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\suppliers\components\supplier-search\supplier-search.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\app.component.ts","18","0","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\environments\environment.ts","4","0","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\reports\components\sales-report\sales-report.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\layout\sidebar\sidebar.ts","24","18","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\layout\mainwindow\mainwindow.component.ts","9","0","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\layout\header\header.ts","13","23","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\billing\components\billing-summary\billing-summary.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\billing\components\billing-cart\billing-cart.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\layout\sidemenu\sidemenu.component.ts","9","27","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\doctor\doctor-dashboard\doctor-dashboard.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\auth\auth-interceptor.ts","5","0","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\auth\auth-guard.ts","5","0","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\inventory\inventory.ts","20","34","2","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\doctor\doctor-signup\doctor-signup.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\doctor\doctor-login\doctor-login.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\reports\components\expiry-report\expiry-report.ts","9","1","0","0"
